Time,State,Pump 1 Voltage,Pump 2 Voltage
1954.671997,Idle,0,0
1955.271973,Idle,0,0
1955.871948,Idle,0,0
1956.472046,Idle,0,0
1957.072021,Idle,0,0
1957.671997,Idle,0,0
1958.271973,Idle,0,0
1958.871948,Idle,0,0
1959.472046,Idle,0,0
1960.072021,Idle,0,0
1960.671997,Idle,0,0
1961.271973,Idle,0,0
1961.871948,Idle,0,0
1962.472046,Idle,0,0
1963.072021,Idle,0,0
1963.671997,Idle,0,0
1964.271973,Idle,0,0
1964.871948,Idle,0,0
1965.472046,Idle,0,0
1966.072021,Idle,0,0
1966.671997,Idle,0,0
1967.271973,Idle,0,0
1967.871948,Idle,0,0
1968.472046,Idle,0,0
1969.072021,Idle,0,0
1969.671997,Idle,0,0
1970.271973,Idle,0,0
1970.871948,Idle,0,0
1971.472046,Idle,0,0
1972.072021,Idle,0,0
1972.671997,Idle,0,0
1973.271973,Idle,0,0
1973.871948,Idle,0,0
1974.472046,Idle,0,0
1975.072021,Idle,0,0
1975.671997,Idle,0,0
1976.271973,Idle,0,0
1976.871948,Idle,0,0
1977.472046,Idle,0,0
1978.072021,Idle,0,0
1978.671997,Idle,0,0
1979.271973,Idle,0,0
1979.871948,Idle,0,0
1980.472046,Idle,0,0
1981.072021,Idle,0,0
1981.671997,Idle,0,0
1982.271973,Idle,0,0
1982.871948,Idle,0,0
1983.472046,Idle,0,0
1984.072021,Idle,0,0
1984.671997,Idle,0,0
1985.271973,Idle,0,0
1985.871948,Idle,0,0
1986.472046,Idle,0,0
1987.072021,Idle,0,0
1987.671997,Idle,0,0
1988.271973,Idle,0,0
1988.871948,Idle,0,0
1989.472046,Idle,0,0
1990.072021,Idle,0,0
1990.671997,Idle,0,0
1991.271973,Idle,0,0
1991.871948,Idle,0,0
1992.472046,Idle,0,0
1993.072021,Idle,0,0
1993.671997,Idle,0,0
1994.271973,Idle,0,0
1994.871948,Idle,0,0
1995.472046,Idle,0,0
1996.072021,Idle,0,0
1996.671997,Idle,0,0
1997.271973,Idle,0,0
1997.871948,Idle,0,0
1998.472046,Idle,0,0
1999.072021,Idle,0,0
1999.671997,Idle,0,0
2000.271973,Idle,0,0
2000.871948,Idle,0,0
2001.472046,Idle,0,0
2002.072021,Idle,0,0
2002.671997,Idle,0,0
2003.271973,Idle,0,0
2003.871948,Idle,0,0
2004.472046,Idle,0,0
2005.072021,Idle,0,0
2005.671997,Idle,0,0
2006.271973,Idle,0,0
2006.871948,Idle,0,0
2007.472046,Idle,0,0
2008.072021,Idle,0,0
2008.671997,Idle,0,0
2009.271973,Idle,0,0
2009.871948,Idle,0,0
2010.472046,Idle,0,0
2011.072021,Idle,0,0
2011.671997,Idle,0,0
2012.271973,Idle,0,0
2012.871948,Idle,0,0
2013.472046,Idle,0,0
2014.072021,Idle,0,0
2014.671997,Idle,0,0
2015.271973,Idle,0,0
2015.871948,Idle,0,0
2016.472046,Idle,0,0
2017.072021,Idle,0,0
2017.671997,Idle,0,0
2018.271973,Idle,0,0
2018.871948,Idle,0,0
2019.472046,Idle,0,0
2020.072021,Idle,0,0
2020.671997,Idle,0,0
2021.271973,Idle,0,0
2021.871948,Idle,0,0
2022.472046,Idle,0,0
2023.072021,Idle,0,0
2023.671997,Idle,0,0
2024.271973,Idle,0,0
2024.871948,Idle,0,0
2025.472046,Idle,0,0
2026.072021,Idle,0,0
2026.671997,Idle,0,0
2027.271973,Idle,0,0
2027.871948,Idle,0,0
2028.472046,Idle,0,0
2029.072021,Idle,0,0
2029.671997,Idle,0,0
2030.271973,Idle,0,0
2030.871948,Idle,0,0
2031.472046,Idle,0,0
2032.072021,Idle,0,0
2032.671997,Idle,0,0
2033.271973,Idle,0,0
2033.871948,Idle,0,0
2034.472046,Idle,0,0
2035.072021,Idle,0,0
2035.671997,Idle,0,0
2036.271973,Idle,0,0
2036.871948,Idle,0,0
2037.472046,Idle,0,0
2038.072021,Idle,0,0
2038.671997,Idle,0,0
2039.271973,Idle,0,0
2039.871948,Idle,0,0
2040.472046,Idle,0,0
2041.072021,Idle,0,0
2041.671997,Idle,0,0
2042.271973,Idle,0,0
2042.871948,Idle,0,0
2043.472046,Idle,0,0
2044.072021,Idle,0,0
2044.671997,Idle,0,0
2045.271973,Idle,0,0
2045.871948,Idle,0,0
2046.472046,Idle,0,0
2047.072021,Idle,0,0
2047.671997,Idle,0,0
2048.172119,Idle,0,0
2048.771973,Idle,0,0
2049.37207,Idle,0,0
2049.971924,Idle,0,0
2050.572021,Idle,0,0
2051.172119,Idle,0,0
2051.771973,Idle,0,0
2052.37207,Idle,0,0
2052.971924,Idle,0,0
2053.572021,Idle,0,0
2054.172119,Idle,0,0
2054.771973,Idle,0,0
2055.37207,Idle,0,0
2055.971924,Idle,0,0
2056.572021,Idle,0,0
2057.172119,Idle,0,0
2057.771973,Idle,0,0
2058.37207,Idle,0,0
2058.971924,Idle,0,0
2059.572021,Idle,0,0
2060.172119,Idle,0,0
2060.771973,Idle,0,0
2061.37207,Idle,0,0
2061.971924,Idle,0,0
2062.572021,Idle,0,0
2063.172119,Idle,0,0
2063.771973,Idle,0,0
2064.37207,Idle,0,0
2064.971924,Idle,0,0
2065.572021,Idle,0,0
2066.172119,Idle,0,0
2066.771973,Idle,0,0
2067.37207,Idle,0,0
2067.971924,Idle,0,0
2068.572021,Idle,0,0
2069.172119,Idle,0,0
2069.771973,Idle,0,0
2070.37207,Idle,0,0
2070.971924,Idle,0,0
2071.572021,Idle,0,0
2072.172119,Idle,0,0
2072.771973,Idle,0,0
2073.37207,Idle,0,0
2073.971924,Idle,0,0
2074.572021,Idle,0,0
2075.172119,Idle,0,0
2075.771973,Idle,0,0
2076.37207,Idle,0,0
2076.971924,Idle,0,0
2077.572021,Idle,0,0
2078.172119,Idle,0,0
2078.771973,Idle,0,0
2079.37207,Idle,0,0
2079.971924,Idle,0,0
2080.572021,Idle,0,0
2081.172119,Idle,0,0
2081.771973,Idle,0,0
2082.37207,Idle,0,0
2082.971924,Idle,0,0
2083.572021,Idle,0,0
2084.172119,Idle,0,0
2084.771973,Idle,0,0
2085.37207,Idle,0,0
2085.971924,Idle,0,0
2086.572021,Idle,0,0
2087.172119,Idle,0,0
2087.771973,Idle,0,0
2088.37207,Idle,0,0
2088.971924,Idle,0,0
2089.572021,Idle,0,0
2090.172119,Idle,0,0
2090.771973,Idle,0,0
2091.37207,Idle,0,0
2091.971924,Idle,0,0
2092.572021,Idle,0,0
2093.172119,Idle,0,0
2093.771973,Idle,0,0
2094.37207,Idle,0,0
2094.971924,Idle,0,0
2095.572021,Idle,0,0
2096.172119,Idle,0,0
2096.771973,Idle,0,0
2097.37207,Idle,0,0
2097.971924,Idle,0,0
2098.572021,Idle,0,0
2099.172119,Idle,0,0
2099.771973,Idle,0,0
2100.37207,Idle,0,0
2100.971924,Idle,0,0
2101.572021,Idle,0,0
2102.172119,Idle,0,0
